"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"65578",2401,"335","",3,"","",""
"65577",2401,"334","",3,"","",""
"65576",2401,"333","",3,"","",""
"65575",2401,"332","",3,"","",""
"65574",2401,"331","",3,"","",""
"65573",2401,"N31","",3,"","",""
"65253",2401,"370","",3,"","",""
"65252",2401,"349","",3,"","",""
"65250",2401,"348","",3,"","",""
"65249",2401,"346","",3,"","",""
"65248",2401,"345","",3,"","",""
"65227",2401,"389","",3,"","",""
"63512",2400,"N39","",3,"","",""
"62338",2402,"200","",3,"","",""
"62046",152,"441","",3,"","",""
"61873",2400,"242","",3,"","",""
"61872",2400,"241","",3,"","",""
"61269",2402,"N61","",3,"","",""
"61268",2402,"N18","",3,"","",""
"61267",2402,"N6","",3,"","",""
"59885",2402,"74","",3,"","",""
"59736",2402,"M3","",3,"","",""
"59734",2402,"19","",3,"","",""
"59732",2402,"13","",3,"","",""
"59731",2402,"12","",3,"","",""
"59730",2402,"650","",3,"","",""
"59729",2402,"X610","",3,"","",""
"59717",2402,"X493","",3,"","",""
"59716",2402,"X492","",3,"","",""
"59715",2402,"475","",3,"84ba6d","",""
"59714",2402,"469","",3,"f193bd","",""
"59713",2402,"468","",3,"f193bd","",""
"59712",2402,"467","",3,"004f9f","",""
"59711",2402,"466","",3,"e88300","",""
"59710",2402,"465","",3,"e88300","",""
"59709",2402,"464","",3,"00913e","",""
"59708",2402,"463","",3,"00913e","",""
"59707",2402,"462","",3,"9d9d9c","",""
"59703",2402,"431","",3,"","",""
"59702",2402,"430","",3,"fbba00","",""
"59701",2402,"414","",3,"00918e","",""
"59700",2402,"413","",3,"d4a01c","",""
"59699",2402,"411","",3,"e50051","",""
"59698",2402,"410","",3,"0080c9","",""
"59697",2402,"393","",3,"","",""
"59696",2402,"392","",3,"","",""
"59695",2402,"382","",3,"","",""
"59694",2402,"381","",3,"","",""
"59693",2402,"373","",3,"1d1d1b","",""
"59692",2402,"322","",3,"009640","",""
"59691",2402,"321","",3,"9c1006","",""
"59690",2402,"318","",3,"a37a70","",""
"59689",2402,"317","",3,"817d39","",""
"59688",2402,"316","",3,"a85c92","",""
"59687",2402,"315","",3,"a90f09","",""
"59686",2402,"314","",3,"63a148","",""
"59685",2402,"312","",3,"b07f00","",""
